op,det,cob,twofold,axis,sg_number,hm,a,b,c,alpha,beta,gamma
37,-1,"(-a,b+c,-b)","-x,-y,-2y+z","(0, 0, 1)",3,P2,8.0,12.53,6.0,118.61,90.0,107.47
38,1,"(-a,b+c,a-c)","-x+2y,y,2y-z","(1, 1, 1)",3,P2,8.0,12.53,11.172,130.5,112.29,107.47
39,1,"(-b-c,a,-a+c)","x,2x-y,2x-z","(1, 1, 1)",3,P2,12.53,8.0,11.172,112.29,130.5,107.47
40,-1,"(-b-c,a,b)","-x,-y,-2x+z","(0, 0, 1)",3,P2,12.53,8.0,6.0,90.0,118.61,107.47
41,1,"(-a,-b,b+c)","-x,y-2z,-z","(0, 1, 0)",3,P2,8.0,6.0,12.53,118.61,107.47,90.0
42,-1,"(-a,a-c,b+c)","-x+2z,-y+2z,z","(1, 1, 1)",3,P2,8.0,11.172,12.53,130.5,107.47,112.29
43,-1,"(-b-c,-a+c,a)","x,2x-y,2x-z","(1, 1, 1)",3,P2,12.53,11.172,8.0,112.29,107.47,130.5
44,1,"(-b-c,b,a)","-x,-2x+y,-z","(0, 1, 0)",3,P2,12.53,6.0,8.0,90.0,107.47,118.61
45,-1,"(-a,-b,a-c)","-x,y,-z","(0, 1, 0)",3,P2,8.0,6.0,11.172,90.0,112.29,90.0
46,1,"(-b-c,-a+c,b)","-x,-y,-2x+z","(0, 0, 1)",3,P2,12.53,11.172,6.0,90.0,118.61,130.5
47,-1,"(-b-c,b,-a+c)","-x,-2x+y,-z","(0, 1, 0)",3,P2,12.53,6.0,11.172,90.0,130.5,118.61
